[id][cost,state,father_id,action,depth,h,value]
[0] [0.0,(0,0),None,None,0,198.0,198.0]
[1] [1.0,(0,1),0,E,1,197.0 ,198.0]
[2] [2.0,(0,2),1,E,2,196.0 ,198.0]
[6] [5.0,(1,2),2,S,3,195.0 ,200.0]
[13] [8.0,(1,3),6,E,4,194.0 ,202.0]
[41] [9.0,(1,4),13,E,5,193.0 ,202.0]
[45] [10.0,(1,5),41,E,6,192.0 ,202.0]
[50] [12.0,(2,5),45,S,7,191.0 ,203.0]
[60] [13.0,(2,6),50,E,8,190.0 ,203.0]
[64] [14.0,(2,7),60,E,9,189.0 ,203.0]
[67] [15.0,(2,8),64,E,10,188.0 ,203.0]
[72] [18.0,(3,8),67,S,11,187.0 ,205.0]
[126] [19.0,(4,8),72,S,12,186.0 ,205.0]
[151] [20.0,(5,8),126,S,13,185.0 ,205.0]
[165] [21.0,(6,8),151,S,14,184.0 ,205.0]
[174] [22.0,(7,8),165,S,15,183.0 ,205.0]
[186] [23.0,(7,9),174,E,16,182.0 ,205.0]
[190] [24.0,(8,9),186,S,17,181.0 ,205.0]
[201] [28.0,(9,9),190,S,18,180.0 ,208.0]
[381] [29.0,(10,9),201,S,19,179.0 ,208.0]
[387] [30.0,(10,10),381,E,20,178.0 ,208.0]
[391] [31.0,(11,10),387,S,21,177.0 ,208.0]
[398] [32.0,(11,11),391,E,22,176.0 ,208.0]
[403] [33.0,(12,11),398,S,23,175.0 ,208.0]
[410] [34.0,(12,12),403,E,24,174.0 ,208.0]
[414] [35.0,(13,12),410,S,25,173.0 ,208.0]
[417] [36.0,(13,13),414,E,26,172.0 ,208.0]
[421] [38.0,(13,14),417,E,27,171.0 ,209.0]
[488] [39.0,(13,15),421,E,28,170.0 ,209.0]
[491] [40.0,(13,16),488,E,29,169.0 ,209.0]
[496] [42.0,(14,16),491,S,30,168.0 ,210.0]
[664] [43.0,(15,16),496,S,31,167.0 ,210.0]
[674] [46.0,(16,16),664,S,32,166.0 ,212.0]
[977] [48.0,(17,16),674,S,33,165.0 ,213.0]
[1087] [51.0,(18,16),977,S,34,164.0 ,215.0]
[1399] [53.0,(19,16),1087,S,35,163.0 ,216.0]
[1590] [55.0,(20,16),1399,S,36,162.0 ,217.0]
[1777] [56.0,(20,17),1590,E,37,161.0 ,217.0]
[1781] [57.0,(21,17),1777,S,38,160.0 ,217.0]
[1805] [60.0,(22,17),1781,S,39,159.0 ,219.0]
[2212] [61.0,(23,17),1805,S,40,158.0 ,219.0]
[2236] [62.0,(24,17),2212,S,41,157.0 ,219.0]
[2250] [63.0,(24,18),2236,E,42,156.0 ,219.0]
[2254] [64.0,(24,19),2250,E,43,155.0 ,219.0]
[2258] [65.0,(25,19),2254,S,44,154.0 ,219.0]
[2273] [66.0,(25,20),2258,E,45,153.0 ,219.0]
[2277] [69.0,(25,21),2273,E,46,152.0 ,221.0]
[2953] [70.0,(26,21),2277,S,47,151.0 ,221.0]
[2970] [71.0,(26,22),2953,E,48,150.0 ,221.0]
[2974] [72.0,(27,22),2970,S,49,149.0 ,221.0]
[3002] [73.0,(27,23),2974,E,50,148.0 ,221.0]
[3005] [74.0,(28,23),3002,S,51,147.0 ,221.0]
[3028] [75.0,(29,23),3005,S,52,146.0 ,221.0]
[3051] [76.0,(29,24),3028,E,53,145.0 ,221.0]
[3054] [77.0,(29,25),3051,E,54,144.0 ,221.0]
[3058] [78.0,(30,25),3054,S,55,143.0 ,221.0]
[3079] [79.0,(31,25),3058,S,56,142.0 ,221.0]
[3101] [80.0,(32,25),3079,S,57,141.0 ,221.0]
[3120] [81.0,(33,25),3101,S,58,140.0 ,221.0]
[3131] [82.0,(33,26),3120,E,59,139.0 ,221.0]
[3134] [83.0,(34,26),3131,S,60,138.0 ,221.0]
[3150] [84.0,(35,26),3134,S,61,137.0 ,221.0]
[3153] [85.0,(35,27),3150,E,62,136.0 ,221.0]
[3158] [86.0,(36,27),3153,S,63,135.0 ,221.0]
[3164] [87.0,(37,27),3158,S,64,134.0 ,221.0]
[3167] [88.0,(37,28),3164,E,65,133.0 ,221.0]
[3170] [89.0,(37,29),3167,E,66,132.0 ,221.0]
[3173] [90.0,(37,30),3170,E,67,131.0 ,221.0]
[3175] [91.0,(37,31),3173,E,68,130.0 ,221.0]
[3179] [92.0,(38,31),3175,S,69,129.0 ,221.0]
[3193] [93.0,(39,31),3179,S,70,128.0 ,221.0]
[3200] [94.0,(39,32),3193,E,71,127.0 ,221.0]
[3204] [95.0,(39,33),3200,E,72,126.0 ,221.0]
[3208] [96.0,(39,34),3204,E,73,125.0 ,221.0]
[3211] [97.0,(38,34),3208,N,74,126.0 ,223.0]
[3902] [98.0,(38,35),3211,E,75,125.0 ,223.0]
[3905] [99.0,(38,36),3902,E,76,124.0 ,223.0]
[3909] [100.0,(38,37),3905,E,77,123.0 ,223.0]
[3912] [101.0,(38,38),3909,E,78,122.0 ,223.0]
[3915] [103.0,(38,39),3912,E,79,121.0 ,224.0]
[4307] [104.0,(38,40),3915,E,80,120.0 ,224.0]
[4310] [105.0,(38,41),4307,E,81,119.0 ,224.0]
[4313] [106.0,(38,42),4310,E,82,118.0 ,224.0]
[4317] [107.0,(39,42),4313,S,83,117.0 ,224.0]
[4324] [108.0,(40,42),4317,S,84,116.0 ,224.0]
[4334] [109.0,(40,41),4324,O,85,117.0 ,226.0]
[5231] [110.0,(41,41),4334,S,86,116.0 ,226.0]
[5238] [111.0,(42,41),5231,S,87,115.0 ,226.0]
[5261] [112.0,(42,42),5238,E,88,114.0 ,226.0]
[5264] [113.0,(43,42),5261,S,89,113.0 ,226.0]
[5281] [114.0,(43,43),5264,E,90,112.0 ,226.0]
[5284] [115.0,(44,43),5281,S,91,111.0 ,226.0]
[5317] [116.0,(45,43),5284,S,92,110.0 ,226.0]
[5345] [118.0,(45,44),5317,E,93,109.0 ,227.0]
[5911] [119.0,(45,45),5345,E,94,108.0 ,227.0]
[5915] [120.0,(45,46),5911,E,95,107.0 ,227.0]
[5918] [121.0,(45,47),5915,E,96,106.0 ,227.0]
[5922] [122.0,(46,47),5918,S,97,105.0 ,227.0]
[5932] [125.0,(46,48),5922,E,98,104.0 ,229.0]
[6891] [126.0,(46,49),5932,E,99,103.0 ,229.0]
[6895] [127.0,(46,50),6891,E,100,102.0 ,229.0]
[6899] [128.0,(46,51),6895,E,101,101.0 ,229.0]
[6903] [130.0,(47,51),6899,S,102,100.0 ,230.0]
[7382] [132.0,(48,51),6903,S,103,99.0 ,231.0]
[7856] [133.0,(48,52),7382,E,104,98.0 ,231.0]
[7860] [134.0,(48,53),7856,E,105,97.0 ,231.0]
[7864] [135.0,(48,54),7860,E,106,96.0 ,231.0]
[7868] [136.0,(48,55),7864,E,107,95.0 ,231.0]
[7871] [139.0,(48,56),7868,E,108,94.0 ,233.0]
[8843] [140.0,(49,56),7871,S,109,93.0 ,233.0]
[8859] [141.0,(49,57),8843,E,110,92.0 ,233.0]
[8863] [142.0,(49,58),8859,E,111,91.0 ,233.0]
[8867] [143.0,(49,59),8863,E,112,90.0 ,233.0]
[8871] [145.0,(49,60),8867,E,113,89.0 ,234.0]
[9456] [146.0,(49,61),8871,E,114,88.0 ,234.0]
[9460] [147.0,(49,62),9456,E,115,87.0 ,234.0]
[9464] [148.0,(49,63),9460,E,116,86.0 ,234.0]
[9468] [149.0,(50,63),9464,S,117,85.0 ,234.0]
[9504] [150.0,(51,63),9468,S,118,84.0 ,234.0]
[9533] [151.0,(52,63),9504,S,119,83.0 ,234.0]
[9559] [152.0,(53,63),9533,S,120,82.0 ,234.0]
[9576] [153.0,(53,64),9559,E,121,81.0 ,234.0]
[9579] [154.0,(54,64),9576,S,122,80.0 ,234.0]
[9586] [155.0,(55,64),9579,S,123,79.0 ,234.0]
[9593] [158.0,(56,64),9586,S,124,78.0 ,236.0]
[10758] [159.0,(57,64),9593,S,125,77.0 ,236.0]
