[id][cost,state,father_id,action,depth,h,value]
[0] [0.0,(0,0),None,None,0,108.0,108.0]
[1] [1.0,(0,1),0,E,1,107.0 ,108.0]
[3] [4.0,(0,2),1,E,2,106.0 ,110.0]
[10] [5.0,(1,2),3,S,3,105.0 ,110.0]
[18] [6.0,(2,2),10,S,4,104.0 ,110.0]
[28] [8.0,(3,2),18,S,5,103.0 ,111.0]
[43] [9.0,(3,3),28,E,6,102.0 ,111.0]
[47] [10.0,(4,3),43,S,7,101.0 ,111.0]
[53] [11.0,(4,4),47,E,8,100.0 ,111.0]
[56] [13.0,(5,4),53,S,9,99.0 ,112.0]
[79] [14.0,(6,4),56,S,10,98.0 ,112.0]
[85] [15.0,(7,4),79,S,11,97.0 ,112.0]
[91] [16.0,(7,5),85,E,12,96.0 ,112.0]
[95] [20.0,(7,6),91,E,13,95.0 ,115.0]
[231] [21.0,(7,7),95,E,14,94.0 ,115.0]
[235] [22.0,(7,8),231,E,15,93.0 ,115.0]
[239] [24.0,(7,9),235,E,16,92.0 ,116.0]
[276] [25.0,(8,9),239,S,17,91.0 ,116.0]
[279] [27.0,(8,10),276,E,18,90.0 ,117.0]
[338] [28.0,(8,11),279,E,19,89.0 ,117.0]
[343] [29.0,(9,11),338,S,20,88.0 ,117.0]
[346] [31.0,(9,12),343,E,21,87.0 ,118.0]
[429] [32.0,(9,13),346,E,22,86.0 ,118.0]
[433] [33.0,(9,14),429,E,23,85.0 ,118.0]
[437] [34.0,(9,15),433,E,24,84.0 ,118.0]
[441] [35.0,(9,16),437,E,25,83.0 ,118.0]
[445] [36.0,(10,16),441,S,26,82.0 ,118.0]
[454] [37.0,(10,17),445,E,27,81.0 ,118.0]
[458] [38.0,(10,18),454,E,28,80.0 ,118.0]
[462] [39.0,(11,18),458,S,29,79.0 ,118.0]
[471] [41.0,(11,19),462,E,30,78.0 ,119.0]
[578] [42.0,(12,19),471,S,31,77.0 ,119.0]
[599] [44.0,(12,20),578,E,32,76.0 ,120.0]
[699] [45.0,(13,20),599,S,33,75.0 ,120.0]
[709] [46.0,(14,20),699,S,34,74.0 ,120.0]
[728] [48.0,(14,21),709,E,35,73.0 ,121.0]
[888] [50.0,(14,22),728,E,36,72.0 ,122.0]
[1078] [51.0,(15,22),888,S,37,71.0 ,122.0]
[1084] [52.0,(15,23),1078,E,38,70.0 ,122.0]
[1087] [54.0,(15,24),1084,E,39,69.0 ,123.0]
[1306] [55.0,(15,25),1087,E,40,68.0 ,123.0]
[1310] [56.0,(15,26),1306,E,41,67.0 ,123.0]
[1313] [57.0,(16,26),1310,S,42,66.0 ,123.0]
[1323] [59.0,(17,26),1313,S,43,65.0 ,124.0]
[1511] [60.0,(18,26),1323,S,44,64.0 ,124.0]
[1530] [61.0,(18,27),1511,E,45,63.0 ,124.0]
[1532] [62.0,(18,28),1530,E,46,62.0 ,124.0]
[1535] [63.0,(18,29),1532,E,47,61.0 ,124.0]
[1539] [64.0,(18,30),1535,E,48,60.0 ,124.0]
