[id][cost,state,father_id,action,depth,h,value]
[0] [0.0,(0,0),None,None,0,177.0,0.0]
[1] [1.0,(1,0),0,S,1,176.0 ,1.0]
[3] [5.0,(1,1),1,E,2,175.0 ,2.0]
[5] [8.0,(2,1),3,S,3,174.0 ,3.0]
[10] [11.0,(3,1),5,S,4,173.0 ,4.0]
[16] [15.0,(3,2),10,E,5,172.0 ,5.0]
[19] [16.0,(2,2),16,N,6,173.0 ,6.0]
[23] [19.0,(2,3),19,E,7,172.0 ,7.0]
[27] [23.0,(2,4),23,E,8,171.0 ,8.0]
[33] [24.0,(1,4),27,N,9,172.0 ,9.0]
[43] [28.0,(1,5),33,E,10,171.0 ,10.0]
[54] [30.0,(0,5),43,N,11,172.0 ,11.0]
[63] [33.0,(0,6),54,E,12,171.0 ,12.0]
[67] [36.0,(0,7),63,E,13,170.0 ,13.0]
[72] [37.0,(0,8),67,E,14,169.0 ,14.0]
[77] [40.0,(0,9),72,E,15,168.0 ,15.0]
[81] [41.0,(0,10),77,E,16,167.0 ,16.0]
[85] [45.0,(0,11),81,E,17,166.0 ,17.0]
[89] [47.0,(0,12),85,E,18,165.0 ,18.0]
[95] [50.0,(0,13),89,E,19,164.0 ,19.0]
[104] [53.0,(0,14),95,E,20,163.0 ,20.0]
[115] [56.0,(1,14),104,S,21,162.0 ,21.0]
[130] [58.0,(1,15),115,E,22,161.0 ,22.0]
[141] [62.0,(1,16),130,E,23,160.0 ,23.0]
[154] [65.0,(2,16),141,S,24,159.0 ,24.0]
[170] [69.0,(3,16),154,S,25,158.0 ,25.0]
[187] [70.0,(3,15),170,O,26,159.0 ,26.0]
[201] [71.0,(3,14),187,O,27,160.0 ,27.0]
[211] [75.0,(4,14),201,S,28,159.0 ,28.0]
[222] [76.0,(4,13),211,O,29,160.0 ,29.0]
[229] [79.0,(5,13),222,S,30,159.0 ,30.0]
[236] [82.0,(5,14),229,E,31,158.0 ,31.0]
[244] [83.0,(6,14),236,S,32,157.0 ,32.0]
[253] [86.0,(7,14),244,S,33,156.0 ,33.0]
[262] [90.0,(8,14),253,S,34,155.0 ,34.0]
[269] [91.0,(8,15),262,E,35,154.0 ,35.0]
[277] [95.0,(9,15),269,S,36,153.0 ,36.0]
[284] [96.0,(9,16),277,E,37,152.0 ,37.0]
[288] [100.0,(9,17),284,E,38,151.0 ,38.0]
[296] [103.0,(10,17),288,S,39,150.0 ,39.0]
[307] [107.0,(11,17),296,S,40,149.0 ,40.0]
[317] [108.0,(11,16),307,O,41,150.0 ,41.0]
[330] [111.0,(12,16),317,S,42,149.0 ,42.0]
[350] [113.0,(13,16),330,S,43,148.0 ,43.0]
[372] [117.0,(13,17),350,E,44,147.0 ,44.0]
[396] [120.0,(14,17),372,S,45,146.0 ,45.0]
[420] [123.0,(15,17),396,S,46,145.0 ,46.0]
[446] [125.0,(16,17),420,S,47,144.0 ,47.0]
[475] [128.0,(16,16),446,O,48,145.0 ,48.0]
[505] [132.0,(17,16),475,S,49,144.0 ,49.0]
[538] [135.0,(18,16),505,S,50,143.0 ,50.0]
[570] [138.0,(19,16),538,S,51,142.0 ,51.0]
[599] [141.0,(19,17),570,E,52,141.0 ,52.0]
[626] [143.0,(19,18),599,E,53,140.0 ,53.0]
[651] [147.0,(20,18),626,S,54,139.0 ,54.0]
[679] [149.0,(21,18),651,S,55,138.0 ,55.0]
[696] [153.0,(21,17),679,O,56,139.0 ,56.0]
[708] [156.0,(21,16),696,O,57,140.0 ,57.0]
[717] [160.0,(22,16),708,S,58,139.0 ,58.0]
[726] [163.0,(22,17),717,E,59,138.0 ,59.0]
[734] [164.0,(22,18),726,E,60,137.0 ,60.0]
[746] [168.0,(23,18),734,S,61,136.0 ,61.0]
[759] [171.0,(23,17),746,O,62,137.0 ,62.0]
[767] [175.0,(23,16),759,O,63,138.0 ,63.0]
[774] [179.0,(24,16),767,S,64,137.0 ,64.0]
[779] [181.0,(24,17),774,E,65,136.0 ,65.0]
[786] [185.0,(25,17),779,S,66,135.0 ,66.0]
[797] [189.0,(25,18),786,E,67,134.0 ,67.0]
[805] [192.0,(24,18),797,N,68,135.0 ,68.0]
[814] [195.0,(24,19),805,E,69,134.0 ,69.0]
[824] [197.0,(24,20),814,E,70,133.0 ,70.0]
[834] [198.0,(24,21),824,E,71,132.0 ,71.0]
[843] [200.0,(24,22),834,E,72,131.0 ,72.0]
[851] [202.0,(25,22),843,S,73,130.0 ,73.0]
[858] [206.0,(25,23),851,E,74,129.0 ,74.0]
[861] [210.0,(26,23),858,S,75,128.0 ,75.0]
[870] [211.0,(26,24),861,E,76,127.0 ,76.0]
[877] [212.0,(26,25),870,E,77,126.0 ,77.0]
[886] [213.0,(26,26),877,E,78,125.0 ,78.0]
[897] [216.0,(26,27),886,E,79,124.0 ,79.0]
[909] [217.0,(26,28),897,E,80,123.0 ,80.0]
[921] [220.0,(25,28),909,N,81,124.0 ,81.0]
[933] [223.0,(25,29),921,E,82,123.0 ,82.0]
[946] [224.0,(24,29),933,N,83,124.0 ,83.0]
[954] [227.0,(24,30),946,E,84,123.0 ,84.0]
[963] [229.0,(24,31),954,E,85,122.0 ,85.0]
[974] [230.0,(24,32),963,E,86,121.0 ,86.0]
[986] [234.0,(24,33),974,E,87,120.0 ,87.0]
[1002] [235.0,(24,34),986,E,88,119.0 ,88.0]
[1019] [238.0,(24,35),1002,E,89,118.0 ,89.0]
[1036] [239.0,(24,36),1019,E,90,117.0 ,90.0]
[1051] [242.0,(24,37),1036,E,91,116.0 ,91.0]
[1062] [243.0,(25,37),1051,S,92,115.0 ,92.0]
[1076] [244.0,(25,38),1062,E,93,114.0 ,93.0]
[1096] [248.0,(24,38),1076,N,94,115.0 ,94.0]
[1111] [250.0,(24,39),1096,E,95,114.0 ,95.0]
[1124] [252.0,(23,39),1111,N,96,115.0 ,96.0]
[1137] [255.0,(23,40),1124,E,97,114.0 ,97.0]
[1157] [258.0,(22,40),1137,N,98,115.0 ,98.0]
[1178] [260.0,(22,41),1157,E,99,114.0 ,99.0]
[1206] [261.0,(23,41),1178,S,100,113.0 ,100.0]
[1238] [262.0,(24,41),1206,S,101,112.0 ,101.0]
[1274] [263.0,(24,42),1238,E,102,111.0 ,102.0]
[1313] [267.0,(23,42),1274,N,103,112.0 ,103.0]
[1345] [270.0,(23,43),1313,E,104,111.0 ,104.0]
[1374] [271.0,(24,43),1345,S,105,110.0 ,105.0]
[1402] [274.0,(24,44),1374,E,106,109.0 ,106.0]
[1430] [275.0,(24,45),1402,E,107,108.0 ,107.0]
[1464] [279.0,(25,45),1430,S,108,107.0 ,108.0]
[1500] [283.0,(26,45),1464,S,109,106.0 ,109.0]
[1538] [285.0,(26,44),1500,O,110,107.0 ,110.0]
[1574] [286.0,(27,44),1538,S,111,106.0 ,111.0]
[1621] [288.0,(28,44),1574,S,112,105.0 ,112.0]
[1666] [289.0,(29,44),1621,S,113,104.0 ,113.0]
[1713] [293.0,(30,44),1666,S,114,103.0 ,114.0]
[1758] [294.0,(31,44),1713,S,115,102.0 ,115.0]
