[id][cost,state,father_id,action,depth,h,value]
[0] [0.0,(0,0),None,None,0,98.0,98.0]
[1] [2.0,(1,0),0,S,1,97.0 ,99.0]
[4] [3.0,(2,0),1,S,2,96.0 ,99.0]
[7] [6.0,(3,0),4,S,3,95.0 ,101.0]
[16] [7.0,(3,1),7,E,4,94.0 ,101.0]
[18] [8.0,(3,2),16,E,5,93.0 ,101.0]
[22] [9.0,(3,3),18,E,6,92.0 ,101.0]
[27] [10.0,(4,3),22,S,7,91.0 ,101.0]
[30] [11.0,(5,3),27,S,8,90.0 ,101.0]
[34] [12.0,(6,3),30,S,9,89.0 ,101.0]
[38] [13.0,(7,3),34,S,10,88.0 ,101.0]
[41] [14.0,(7,4),38,E,11,87.0 ,101.0]
[43] [15.0,(7,5),41,E,12,86.0 ,101.0]
[47] [16.0,(7,6),43,E,13,85.0 ,101.0]
[51] [17.0,(7,7),47,E,14,84.0 ,101.0]
[56] [18.0,(8,7),51,S,15,83.0 ,101.0]
[72] [19.0,(9,7),56,S,16,82.0 ,101.0]
[75] [20.0,(9,8),72,E,17,81.0 ,101.0]
[78] [22.0,(10,8),75,S,18,80.0 ,102.0]
[89] [23.0,(11,8),78,S,19,79.0 ,102.0]
[92] [24.0,(11,9),89,E,20,78.0 ,102.0]
[97] [25.0,(12,9),92,S,21,77.0 ,102.0]
[102] [26.0,(12,10),97,E,22,76.0 ,102.0]
[105] [27.0,(12,11),102,E,23,75.0 ,102.0]
[108] [28.0,(12,12),105,E,24,74.0 ,102.0]
[111] [29.0,(13,12),108,S,25,73.0 ,102.0]
[124] [30.0,(14,12),111,S,26,72.0 ,102.0]
[131] [31.0,(14,13),124,E,27,71.0 ,102.0]
[135] [32.0,(14,14),131,E,28,70.0 ,102.0]
[140] [33.0,(15,14),135,S,29,69.0 ,102.0]
[151] [35.0,(16,14),140,S,30,68.0 ,103.0]
[247] [36.0,(17,14),151,S,31,67.0 ,103.0]
[250] [37.0,(17,15),247,E,32,66.0 ,103.0]
[253] [38.0,(16,15),250,N,33,67.0 ,105.0]
[510] [39.0,(16,16),253,E,34,66.0 ,105.0]
[513] [40.0,(16,17),510,E,35,65.0 ,105.0]
[516] [41.0,(16,18),513,E,36,64.0 ,105.0]
[521] [42.0,(17,18),516,S,37,63.0 ,105.0]
[532] [43.0,(17,19),521,E,38,62.0 ,105.0]
[535] [44.0,(17,20),532,E,39,61.0 ,105.0]
[539] [45.0,(17,21),535,E,40,60.0 ,105.0]
[543] [46.0,(17,22),539,E,41,59.0 ,105.0]
[547] [47.0,(17,23),543,E,42,58.0 ,105.0]
[551] [49.0,(17,24),547,E,43,57.0 ,106.0]
[769] [50.0,(18,24),551,S,44,56.0 ,106.0]
[782] [51.0,(18,25),769,E,45,55.0 ,106.0]
[785] [53.0,(18,26),782,E,46,54.0 ,107.0]
[911] [54.0,(18,27),785,E,47,53.0 ,107.0]
[914] [55.0,(18,28),911,E,48,52.0 ,107.0]
[918] [56.0,(19,28),914,S,49,51.0 ,107.0]
[937] [57.0,(20,28),918,S,50,50.0 ,107.0]
[953] [58.0,(21,28),937,S,51,49.0 ,107.0]
[960] [59.0,(22,28),953,S,52,48.0 ,107.0]
[966] [60.0,(23,28),960,S,53,47.0 ,107.0]
[979] [61.0,(23,29),966,E,54,46.0 ,107.0]
[983] [62.0,(23,30),979,E,55,45.0 ,107.0]
[987] [63.0,(23,31),983,E,56,44.0 ,107.0]
[990] [64.0,(22,31),987,N,57,45.0 ,109.0]
[1402] [67.0,(22,32),990,E,58,44.0 ,111.0]
[1873] [68.0,(22,33),1402,E,59,43.0 ,111.0]
[1877] [69.0,(22,34),1873,E,60,42.0 ,111.0]
[1881] [70.0,(23,34),1877,S,61,41.0 ,111.0]
[1900] [71.0,(23,35),1881,E,62,40.0 ,111.0]
[1903] [72.0,(24,35),1900,S,63,39.0 ,111.0]
[1933] [73.0,(24,36),1903,E,64,38.0 ,111.0]
[1937] [74.0,(25,36),1933,S,65,37.0 ,111.0]
[1944] [75.0,(25,37),1937,E,66,36.0 ,111.0]
[1948] [76.0,(26,37),1944,S,67,35.0 ,111.0]
[1955] [78.0,(27,37),1948,S,68,34.0 ,112.0]
[2214] [79.0,(27,38),1955,E,69,33.0 ,112.0]
[2217] [81.0,(28,38),2214,S,70,32.0 ,113.0]
[2520] [82.0,(28,39),2217,E,71,31.0 ,113.0]
[2523] [83.0,(28,40),2520,E,72,30.0 ,113.0]
[2528] [85.0,(29,40),2523,S,73,29.0 ,114.0]
[2835] [86.0,(29,41),2528,E,74,28.0 ,114.0]
[2839] [88.0,(30,41),2835,S,75,27.0 ,115.0]
